PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, GP, W, L, MIN, MIN1, DIST_FEET, DIST_MILES, DIST_MILES_OFF, DIST_MILES_DEF, AVG_SPEED, AVG_SPEED_DEF
203143, Pablo Prigioni, 1610612752, NYK, 66, 29, 37, 19.43, 19.43, 7646.97, 1.45, 0.76, 0.69, 4.49, 4.39
201976, Patrick Beverley, 1610612745, HOU, 56, 39, 17, 31.26, 31.26, 12368.09, 2.34, 1.22, 1.12, 4.5, 4.2
202335, Patrick Patterson, 1610612761, TOR, 64, 37, 27, 23.53, 23.53, 8507.97, 1.61, 0.86, 0.75, 4.14, 3.95
201988, Patty Mills, 1610612759, SAS, 81, 62, 19, 18.86, 18.86, 8004.42, 1.52, 0.79, 0.72, 4.83, 4.48
2200, Pau Gasol, 1610612747, LAL, 60, 21, 39, 31.4, 31.4, 11000.8, 2.08, 1.09, 0.99, 3.99, 3.74
202331, Paul George, 1610612754, IND, 80, 54, 26, 36.23, 36.23, 13576.29, 2.57, 1.4, 1.17, 4.27, 3.98
200794, Paul Millsap, 1610612737, ATL, 73, 36, 37, 33.6, 33.6, 12281.53, 2.33, 1.25, 1.08, 4.17, 3.83
1718, Paul Pierce, 1610612751, BKN, 74, 41, 33, 27.99, 27.99, 9004.35, 1.71, 0.9, 0.8, 3.67, 3.44
203544, Pero Antic, 1610612737, ATL, 49, 23, 26, 18.41, 18.41, 6737.55, 1.28, 0.69, 0.59, 4.17, 3.87
203103, Perry Jones III, 1610612760, OKC, 62, 45, 17, 12.33, 12.33, 4632.68, 0.88, 0.45, 0.42, 4.28, 4.05
203491, Peyton Siva, 1610612765, DET, 24, 9, 15, 9.35, 9.35, 3344.63, 0.63, 0.33, 0.3, 4.07, 3.94
203515, Phil Pressey, 1610612738, BOS, 75, 23, 52, 15.09, 15.09, 5789.89, 1.1, 0.58, 0.51, 4.36, 4.08
203112, Quincy Acy, 1610612758, SAC, 63, 22, 41, 13.46, 13.46, 5204.68, 0.99, 0.53, 0.46, 4.43, 4.28
203113, Quincy Miller, 1610612743, DEN, 52, 21, 31, 15.18, 15.18, 5844.5, 1.11, 0.56, 0.54, 4.39, 4.14
202347, Quincy Pondexter, 1610612763, MEM, 15, 7, 8, 18.02, 18.02, 6731.2, 1.27, 0.69, 0.58, 4.25, 4.13
200765, Rajon Rondo, 1610612738, BOS, 30, 6, 24, 33.27, 33.27, 11561.03, 2.19, 1.2, 0.99, 3.95, 3.65
201196, Ramon Sessions, 1610612749, MIL, 83, 30, 53, 26.68, 26.68, 9694.47, 1.84, 1.03, 0.8, 4.14, 3.69
200751, Randy Foye, 1610612743, DEN, 81, 36, 45, 30.68, 30.68, 11326.53, 2.15, 1.12, 1.02, 4.21, 3.85
1740, Rashard Lewis, 1610612748, MIA, 60, 41, 19, 16.18, 16.18, 6159.02, 1.17, 0.6, 0.56, 4.33, 4.12
2446, Rasual Butler, 1610612754, IND, 50, 30, 20, 7.56, 7.56, 2784.96, 0.53, 0.28, 0.25, 4.2, 4.06
951, Ray Allen, 1610612748, MIA, 73, 47, 26, 26.52, 26.52, 9861.23, 1.87, 0.99, 0.88, 4.22, 4.0
203492, Ray McCallum, 1610612758, SAC, 45, 16, 29, 19.93, 19.93, 7813.69, 1.48, 0.85, 0.63, 4.48, 4.04
101109, Raymond Felton, 1610612752, NYK, 65, 31, 34, 31.04, 31.04, 11138.62, 2.11, 1.14, 0.97, 4.09, 3.86
203493, Reggie Bullock, 1610612746, LAC, 43, 30, 13, 9.2, 9.2, 3492.33, 0.66, 0.34, 0.32, 4.32, 4.14
2501, Reggie Evans, 1610612758, SAC, 54, 18, 36, 16.65, 16.65, 5988.39, 1.13, 0.6, 0.54, 4.1, 4.09
202704, Reggie Jackson, 1610612760, OKC, 80, 57, 23, 28.47, 28.47, 10309.49, 1.95, 1.04, 0.91, 4.12, 3.74
202130, Reggie Williams, 1610612760, OKC, 3, 3, 0, 5.56, 5.56, 2066.0, 0.39, 0.23, 0.17, 4.31, 3.82
2210, Richard Jefferson, 1610612762, UTA, 82, 25, 57, 26.98, 26.98, 9591.07, 1.82, 0.97, 0.85, 4.05, 3.97
203495, Ricky Ledo, 1610612742, DAL, 11, 5, 6, 3.02, 3.02, 1161.0, 0.22, 0.12, 0.1, 4.34, 3.92
201937, Ricky Rubio, 1610612750, MIN, 82, 40, 42, 32.17, 32.17, 12547.8, 2.38, 1.31, 1.06, 4.45, 3.99
203133, Robbie Hummel, 1610612750, MIN, 53, 26, 27, 12.36, 12.36, 4919.51, 0.93, 0.5, 0.43, 4.54, 4.25
203496, Robert Covington, 1610612745, HOU, 7, 4, 3, 4.83, 4.83, 1837.57, 0.35, 0.17, 0.18, 4.26, 3.75
203135, Robert Sacre, 1610612747, LAL, 65, 20, 45, 16.75, 16.75, 6171.71, 1.17, 0.6, 0.57, 4.2, 3.88
201577, Robin Lopez, 1610612757, POR, 82, 54, 28, 31.75, 31.75, 11626.54, 2.2, 1.14, 1.07, 4.17, 4.07
201155, Rodney Stuckey, 1610612765, DET, 73, 27, 46, 26.72, 26.72, 9296.0, 1.76, 0.92, 0.84, 3.96, 3.78
2427, Roger Mason Jr., 1610612748, MIA, 25, 18, 7, 10.4, 10.4, 3814.68, 0.72, 0.37, 0.35, 4.19, 4.11
200758, Ronnie Brewer, 1610612741, CHI, 24, 17, 7, 6.68, 6.68, 2497.33, 0.47, 0.25, 0.23, 4.27, 4.2
101179, Ronnie Price, 1610612753, ORL, 31, 9, 22, 12.16, 12.16, 4765.48, 0.9, 0.47, 0.43, 4.47, 4.16
101142, Ronny Turiaf, 1610612750, MIN, 31, 16, 15, 19.54, 19.54, 6514.26, 1.23, 0.63, 0.61, 3.83, 3.77
201579, Roy Hibbert, 1610612754, IND, 81, 55, 26, 29.74, 29.74, 10219.25, 1.94, 1.01, 0.92, 3.91, 3.82
2767, Royal Ivey, 1610612760, OKC, 2, 2, 0, 2.4, 2.4, 749.5, 0.14, 0.09, 0.05, 3.75, 3.19
203091, Royce White, 1610612758, SAC, 3, 1, 2, 2.97, 2.97, 1099.0, 0.21, 0.11, 0.1, 4.09, 4.42
200752, Rudy Gay, 1610612758, SAC, 72, 26, 46, 34.66, 34.66, 12584.92, 2.38, 1.27, 1.12, 4.14, 3.99
203497, Rudy Gobert, 1610612762, UTA, 45, 7, 38, 9.64, 9.64, 3634.04, 0.69, 0.37, 0.31, 4.29, 4.04
201566, Russell Westbrook, 1610612760, OKC, 46, 34, 12, 30.69, 30.69, 11419.74, 2.16, 1.15, 1.01, 4.24, 3.78
201583, Ryan Anderson, 1610612740, NOP, 22, 12, 10, 36.12, 36.12, 12933.82, 2.45, 1.33, 1.12, 4.07, 3.64
101155, Ryan Gomes, 1610612760, OKC, 5, 3, 2, 6.85, 6.85, 2508.6, 0.48, 0.25, 0.22, 4.21, 4.05
200797, Ryan Hollins, 1610612746, LAC, 61, 43, 18, 7.9, 7.9, 2989.16, 0.57, 0.28, 0.28, 4.31, 4.15
203527, Ryan Kelly, 1610612747, LAL, 59, 15, 44, 22.23, 22.23, 8390.73, 1.59, 0.83, 0.76, 4.3, 3.92
2223, Samuel Dalembert, 1610612742, DAL, 80, 48, 32, 20.17, 20.17, 7491.4, 1.42, 0.74, 0.68, 4.24, 4.09
2756, Sasha Vujacic, 1610612746, LAC, 2, 1, 1, 5.19, 5.19, 2117.0, 0.4, 0.22, 0.19, 4.64, 5.08
203816, Scotty Hopson, 1610612739, CLE, 2, 2, 0, 3.38, 3.38, 1392.5, 0.26, 0.15, 0.12, 4.43, 3.31
201586, Serge Ibaka, 1610612760, OKC, 81, 59, 22, 32.91, 32.91, 11880.81, 2.25, 1.17, 1.08, 4.11, 3.84
203508, Sergey Karasev, 1610612739, CLE, 22, 7, 15, 7.08, 7.08, 2829.14, 0.54, 0.28, 0.25, 4.57, 4.19
203552, Seth Curry, 1610612739, CLE, 2, 1, 1, 6.46, 6.46, 2616.5, 0.5, 0.29, 0.2, 4.64, 4.32
203498, Shabazz Muhammad, 1610612750, MIN, 37, 21, 16, 7.84, 7.84, 3013.97, 0.57, 0.3, 0.27, 4.38, 4.36
2203, Shane Battier, 1610612748, MIA, 73, 49, 24, 20.1, 20.1, 7667.03, 1.45, 0.74, 0.71, 4.34, 4.17
202197, Shane Edwards, 1610612739, CLE, 2, 0, 2, 5.88, 5.88, 2277.0, 0.43, 0.23, 0.2, 4.6, 4.02
203499, Shane Larkin, 1610612742, DAL, 48, 26, 22, 10.2, 10.2, 4111.21, 0.78, 0.41, 0.37, 4.61, 4.42
200769, Shannon Brown, 1610612752, NYK, 29, 19, 10, 8.67, 8.67, 3342.1, 0.63, 0.33, 0.3, 4.41, 4.12
2733, Shaun Livingston, 1610612751, BKN, 75, 41, 34, 26.03, 26.03, 9677.76, 1.83, 1.0, 0.83, 4.25, 3.91
101183, Shavlik Randolph, 1610612756, PHX, 14, 8, 6, 6.78, 6.78, 2463.71, 0.47, 0.24, 0.23, 4.12, 3.97
1890, Shawn Marion, 1610612742, DAL, 76, 44, 32, 31.69, 31.69, 11689.67, 2.21, 1.16, 1.05, 4.2, 4.01
200761, Shawne Williams, 1610612747, LAL, 36, 14, 22, 20.85, 20.85, 8407.56, 1.59, 0.81, 0.78, 4.57, 4.37
202714, Shelvin Mack, 1610612737, ATL, 72, 33, 39, 20.4, 20.4, 8212.68, 1.56, 0.85, 0.71, 4.59, 4.11
203524, Solomon Hill, 1610612754, IND, 28, 17, 11, 8.06, 8.06, 2882.5, 0.55, 0.29, 0.26, 4.08, 4.0
200780, Solomon Jones, 1610612753, ORL, 11, 2, 9, 7.75, 7.75, 3036.73, 0.58, 0.3, 0.28, 4.45, 4.28
201150, Spencer Hawes, 1610612739, CLE, 80, 26, 54, 30.87, 30.87, 11439.04, 2.17, 1.13, 1.03, 4.23, 3.84
201939, Stephen Curry, 1610612744, GSW, 77, 49, 28, 36.44, 36.44, 13589.14, 2.57, 1.37, 1.21, 4.26, 3.78
1536, Stephen Jackson, 1610612746, LAC, 9, 6, 3, 11.86, 11.86, 3950.89, 0.75, 0.38, 0.37, 3.78, 3.43
2581, Steve Blake, 1610612744, GSW, 55, 31, 24, 27.24, 27.24, 10641.91, 2.02, 1.11, 0.91, 4.45, 4.01
959, Steve Nash, 1610612747, LAL, 15, 4, 11, 20.84, 20.84, 8231.27, 1.56, 0.85, 0.71, 4.5, 3.98
200779, Steve Novak, 1610612761, TOR, 54, 28, 26, 10.01, 10.01, 3828.22, 0.73, 0.4, 0.32, 4.38, 3.95
203500, Steven Adams, 1610612760, OKC, 81, 59, 22, 14.78, 14.78, 5675.67, 1.07, 0.56, 0.52, 4.37, 4.15
